,State,Transaction_Year,Quaters,Transaction_type,Transaction_count,Transaction_amount
0,madhya-pradesh,2021,3,Merchant payments,138433772,85885669792
1,madhya-pradesh,2021,3,Peer-to-peer payments,127654821,398912712886
2,madhya-pradesh,2021,3,Recharge & bill payments,44437315,19025346050
3,madhya-pradesh,2021,3,Financial Services,174454,180366422
4,madhya-pradesh,2021,3,Others,742972,408508699
5,madhya-pradesh,2021,4,Merchant payments,197193842,126461098235
6,madhya-pradesh,2021,4,Peer-to-peer payments,159649020,507118521843
7,madhya-pradesh,2021,4,Recharge & bill payments,46220966,22492766779
8,madhya-pradesh,2021,4,Financial Services,247925,246488171
9,madhya-pradesh,2021,4,Others,996331,568617375
10,madhya-pradesh,2021,1,Merchant payments,84812245,50098244499
11,madhya-pradesh,2021,1,Peer-to-peer payments,84070625,279938170703
12,madhya-pradesh,2021,1,Recharge & bill payments,32500681,13060914041
13,madhya-pradesh,2021,1,Financial Services,169378,161838389
14,madhya-pradesh,2021,1,Others,445569,274786748
15,madhya-pradesh,2021,2,Peer-to-peer payments,99367521,348935762191
16,madhya-pradesh,2021,2,Merchant payments,77113464,58839392449
17,madhya-pradesh,2021,2,Recharge & bill payments,46118636,17230546398
18,madhya-pradesh,2021,2,Financial Services,188726,177313389
19,madhya-pradesh,2021,2,Others,526333,317753606
20,madhya-pradesh,2023,1,Merchant payments,404378350,208281637594
21,madhya-pradesh,2023,1,Peer-to-peer payments,263524301,809388762719
22,madhya-pradesh,2023,1,Recharge & bill payments,65818962,43725957842
23,madhya-pradesh,2023,1,Financial Services,226835,236606773
24,madhya-pradesh,2023,1,Others,618522,393634973
25,madhya-pradesh,2023,2,Merchant payments,479498828,236960764220
26,madhya-pradesh,2023,2,Peer-to-peer payments,294125925,916102516476
27,madhya-pradesh,2023,2,Recharge & bill payments,73584106,48712706741
28,madhya-pradesh,2023,2,Financial Services,248905,289207465
29,madhya-pradesh,2023,2,Others,579296,375754606
30,madhya-pradesh,2020,3,Peer-to-peer payments,50871564,174978985034
31,madhya-pradesh,2020,3,Merchant payments,31879804,20621273981
32,madhya-pradesh,2020,3,Recharge & bill payments,25380467,9834190567
