,State,Transaction_Year,Quaters,District,Transaction_Type,Transaction_Count,Transaction_Amount
0,madhya-pradesh,2021,3,morena district,TOTAL,2663845,5913102281
1,madhya-pradesh,2021,3,alirajpur district,TOTAL,405281,866069975
2,madhya-pradesh,2021,3,sehore district,TOTAL,5466240,8629273157
3,madhya-pradesh,2021,3,rajgarh district,TOTAL,4362607,8110477015
4,madhya-pradesh,2021,3,khargone district,TOTAL,4080827,7653424067
5,madhya-pradesh,2021,3,satna district,TOTAL,3863963,7099161854
6,madhya-pradesh,2021,3,narsinghpur district,TOTAL,2306626,4381298516
7,madhya-pradesh,2021,3,jabalpur district,TOTAL,9691966,16293034528
8,madhya-pradesh,2021,3,hoshangabad district,TOTAL,3357514,5790861781
9,madhya-pradesh,2021,3,vidisha district,TOTAL,3335770,5867670567
10,madhya-pradesh,2021,3,balaghat district,TOTAL,3613826,6476841319
11,madhya-pradesh,2021,3,singrauli district,TOTAL,3618155,6621353481
12,madhya-pradesh,2021,3,betul district,TOTAL,3654633,6054678740
13,madhya-pradesh,2021,3,sidhi district,TOTAL,1699469,3628172896
14,madhya-pradesh,2021,3,datia district,TOTAL,1020487,2200901347
15,madhya-pradesh,2021,3,dewas district,TOTAL,6092595,9986506658
16,madhya-pradesh,2021,3,sheopur district,TOTAL,653005,1463415451
17,madhya-pradesh,2021,3,neemuch district,TOTAL,2073895,4051955941
18,madhya-pradesh,2021,3,raisen district,TOTAL,3839223,5937299649
19,madhya-pradesh,2021,3,mandsaur district,TOTAL,3144346,6258972327
20,madhya-pradesh,2021,3,barwani district,TOTAL,1902146,3713834240
21,madhya-pradesh,2021,3,katni district,TOTAL,2297587,4195234171
22,madhya-pradesh,2021,3,dindori district,TOTAL,732555,1558066600
23,madhya-pradesh,2021,3,shivpuri district,TOTAL,2526203,5208883167
24,madhya-pradesh,2021,3,gwalior district,TOTAL,10677148,19237891487
25,madhya-pradesh,2021,3,anuppur district,TOTAL,1546491,2591714166
26,madhya-pradesh,2021,3,agar malwa district,TOTAL,1319027,2767273784
27,madhya-pradesh,2021,3,ashoknagar district,TOTAL,1292875,2392758234
28,madhya-pradesh,2021,3,sagar district,TOTAL,4691027,8366148265
29,madhya-pradesh,2021,3,niwari district,TOTAL,415505,858519029
30,madhya-pradesh,2021,3,rewa district,TOTAL,4556210,8799296257
31,madhya-pradesh,2021,3,shajapur district,TOTAL,2725153,4865959005
32,madhya-pradesh,2021,3,ujjain district,TOTAL,7652620,13233697399
33,madhya-pradesh,2021,3,bhind district,TOTAL,2080070,4279914834
34,madhya-pradesh,2021,3,tikamgarh district,TOTAL,1201562,2318909825
35,madhya-pradesh,2021,3,seoni district,TOTAL,2537797,4896066893
36,madhya-pradesh,2021,3,harda district,TOTAL,1238849,2408638434
37,madhya-pradesh,2021,3,burhanpur district,TOTAL,1523550,2670012212
38,madhya-pradesh,2021,3,damoh district,TOTAL,1339223,2698898323
39,madhya-pradesh,2021,3,bhopal district,TOTAL,103403998,146735124186
40,madhya-pradesh,2021,3,jhabua district,TOTAL,1098652,2216570769
41,madhya-pradesh,2021,3,dhar district,TOTAL,7010257,11371461567
42,madhya-pradesh,2021,3,guna district,TOTAL,3046536,5615584297
43,madhya-pradesh,2021,3,east nimar district,TOTAL,2804269,4694724162
44,madhya-pradesh,2021,3,chhindwara district,TOTAL,5106996,8670292561
45,madhya-pradesh,2021,3,umaria district,TOTAL,1019837,1814397211
46,madhya-pradesh,2021,3,mandla district,TOTAL,1316351,2496120604
47,madhya-pradesh,2021,3,indore district,TOTAL,55970712,81712956761
48,madhya-pradesh,2021,3,shahdol district,TOTAL,2503362,4430769579
49,madhya-pradesh,2021,3,ratlam district,TOTAL,3779757,7531821203
50,madhya-pradesh,2021,3,panna district,TOTAL,1024773,2190941787
51,madhya-pradesh,2021,3,chhatarpur district,TOTAL,2157963,4585651268
52,madhya-pradesh,2021,4,morena district,TOTAL,3585380,8161920390
53,madhya-pradesh,2021,4,alirajpur district,TOTAL,538522,1097069368
54,madhya-pradesh,2021,4,sehore district,TOTAL,6733399,10809509304
55,madhya-pradesh,2021,4,rajgarh district,TOTAL,5626439,10698887270
56,madhya-pradesh,2021,4,khargone district,TOTAL,5088590,9607110801
