,State,Transaction_Year,Quaters,District,RegisteredUsers,appOpens
0,sikkim,2018,4,south district,8992,0
1,sikkim,2018,4,west district,5328,0
2,sikkim,2018,4,east district,29948,0
3,sikkim,2018,4,north district,4270,0
4,sikkim,2018,3,south district,6943,0
5,sikkim,2018,3,west district,4042,0
6,sikkim,2018,3,east district,23460,0
7,sikkim,2018,3,north district,3192,0
8,sikkim,2018,1,south district,3679,0
9,sikkim,2018,1,west district,2048,0
10,sikkim,2018,1,east district,12749,0
11,sikkim,2018,1,north district,1575,0
12,sikkim,2018,2,south district,5147,0
13,sikkim,2018,2,west district,2868,0
14,sikkim,2018,2,east district,17767,0
15,sikkim,2018,2,north district,2315,0
16,sikkim,2021,4,south district,41311,1156897
17,sikkim,2021,4,west district,25834,686418
18,sikkim,2021,4,east district,113537,3108229
19,sikkim,2021,4,north district,16725,574008
20,sikkim,2021,3,south district,38616,1144641
21,sikkim,2021,3,west district,24132,1053092
22,sikkim,2021,3,east district,106352,2217368
23,sikkim,2021,3,north district,15593,1299464
24,sikkim,2021,1,south district,33490,549002
25,sikkim,2021,1,west district,20769,329949
26,sikkim,2021,1,east district,92502,1635704
27,sikkim,2021,1,north district,13452,280676
28,sikkim,2021,2,south district,35900,967570
29,sikkim,2021,2,west district,22352,824607
30,sikkim,2021,2,east district,99077,1747714
31,sikkim,2021,2,north district,14411,1001230
32,sikkim,2022,4,south district,50716,2045443
33,sikkim,2022,4,west district,31605,1253670
34,sikkim,2022,4,east district,139175,4859711
35,sikkim,2022,4,north district,20472,790040
36,sikkim,2022,3,south district,48673,4041078
37,sikkim,2022,3,west district,30513,4964725
38,sikkim,2022,3,east district,133152,5164204
39,sikkim,2022,3,north district,19687,4578529
40,sikkim,2022,1,south district,43881,2776181
41,sikkim,2022,1,west district,27594,3049668
42,sikkim,2022,1,east district,120360,3384215
43,sikkim,2022,1,north district,17781,3230129
44,sikkim,2022,2,south district,46351,3490586
45,sikkim,2022,2,west district,29184,4031393
46,sikkim,2022,2,east district,126666,4759136
47,sikkim,2022,2,north district,18793,4712822
48,sikkim,2019,4,south district,18461,329447
49,sikkim,2019,4,west district,11078,178799
50,sikkim,2019,4,east district,55340,889132
51,sikkim,2019,4,north district,8093,154626
52,sikkim,2019,3,south district,16016,280590
53,sikkim,2019,3,west district,9481,144701
54,sikkim,2019,3,east district,49404,754830
55,sikkim,2019,3,north district,7227,136683
56,sikkim,2019,1,south district,11031,0
57,sikkim,2019,1,west district,6479,0
58,sikkim,2019,1,east district,36124,0
59,sikkim,2019,1,north district,5322,0
60,sikkim,2019,2,south district,13547,77140
61,sikkim,2019,2,west district,8064,46084
62,sikkim,2019,2,east district,43048,238494
63,sikkim,2019,2,north district,6340,36802
64,sikkim,2020,4,south district,31055,487764
65,sikkim,2020,4,west district,19217,307094
66,sikkim,2020,4,east district,85770,1393562
67,sikkim,2020,4,north district,12501,290250
68,sikkim,2020,3,south district,28038,435098
69,sikkim,2020,3,west district,17400,289152
70,sikkim,2020,3,east district,78018,1205412
71,sikkim,2020,3,north district,11317,226808
72,sikkim,2020,1,south district,21043,363778
73,sikkim,2020,1,west district,12746,206588
74,sikkim,2020,1,east district,61820,973818
75,sikkim,2020,1,north district,9022,152979
76,sikkim,2020,2,south district,24768,391248
77,sikkim,2020,2,west district,15082,272075
78,sikkim,2020,2,east district,69829,1057180
79,sikkim,2020,2,north district,10242,191832
80,sikkim,2023,1,south district,52942,5195700
81,sikkim,2023,1,west district,32945,4025814
82,sikkim,2023,1,east district,145199,4158937
83,sikkim,2023,1,north district,21354,5546776
84,sikkim,2023,2,south district,55158,7212789
85,sikkim,2023,2,west district,34427,8135830
86,sikkim,2023,2,east district,150852,6251789
87,sikkim,2023,2,north district,22291,6870467
88,maharashtra,2018,4,jalgaon district,325677,0
89,maharashtra,2018,4,latur district,212030,0
90,maharashtra,2018,4,thane district,1473811,0
91,maharashtra,2018,4,bhandara district,86513,0
92,maharashtra,2018,4,nandurbar district,64012,0
93,maharashtra,2018,4,chandrapur district,149712,0
94,maharashtra,2018,4,kolhapur district,372286,0
95,maharashtra,2018,4,solapur district,419060,0
96,maharashtra,2018,4,mumbai district,543353,0
97,maharashtra,2018,4,sindhudurg district,47259,0
98,maharashtra,2018,4,dhule district,140033,0
99,maharashtra,2018,4,wardha district,100626,0
100,maharashtra,2018,4,parbhani district,117401,0
101,maharashtra,2018,4,mumbai suburban district,1578487,0
102,maharashtra,2018,4,hingoli district,60769,0
103,maharashtra,2018,4,ratnagiri district,82907,0
104,maharashtra,2018,4,nanded district,212108,0
105,maharashtra,2018,4,osmanabad district,119476,0
106,maharashtra,2018,4,nagpur district,627317,0
107,maharashtra,2018,4,buldhana district,183255,0
108,maharashtra,2018,4,nashik district,698343,0
109,maharashtra,2018,4,akola district,121472,0
110,maharashtra,2018,4,yavatmal district,129352,0
111,maharashtra,2018,4,aurangabad district,534477,0
112,maharashtra,2018,4,amravati district,213417,0
113,maharashtra,2018,4,washim district,65005,0
114,maharashtra,2018,4,sangli district,241022,0
115,maharashtra,2018,4,gadchiroli district,48456,0
116,maharashtra,2018,4,raigad district,405733,0
117,maharashtra,2018,4,palghar district,414825,0
118,maharashtra,2018,4,jalna district,129656,0
119,maharashtra,2018,4,gondia district,83706,0
120,maharashtra,2018,4,ahmednagar district,439246,0
121,maharashtra,2018,4,pune district,2498852,0
122,maharashtra,2018,4,beed district,170917,0
123,maharashtra,2018,4,satara district,271031,0
124,maharashtra,2018,3,jalgaon district,263135,0
125,maharashtra,2018,3,latur district,170128,0
126,maharashtra,2018,3,thane district,1104206,0
127,maharashtra,2018,3,bhandara district,68672,0
128,maharashtra,2018,3,nandurbar district,49904,0
129,maharashtra,2018,3,chandrapur district,119898,0
130,maharashtra,2018,3,kolhapur district,292239,0
131,maharashtra,2018,3,solapur district,331428,0
132,maharashtra,2018,3,mumbai district,410878,0
133,maharashtra,2018,3,sindhudurg district,35352,0
134,maharashtra,2018,3,dhule district,110815,0
135,maharashtra,2018,3,wardha district,80412,0
136,maharashtra,2018,3,parbhani district,94341,0
137,maharashtra,2018,3,mumbai suburban district,1218632,0
138,maharashtra,2018,3,hingoli district,48279,0
139,maharashtra,2018,3,ratnagiri district,61998,0
140,maharashtra,2018,3,nanded district,168414,0
141,maharashtra,2018,3,osmanabad district,93240,0
142,maharashtra,2018,3,nagpur district,487280,0
143,maharashtra,2018,3,buldhana district,145183,0
144,maharashtra,2018,3,nashik district,552556,0
145,maharashtra,2018,3,akola district,96221,0
146,maharashtra,2018,3,yavatmal district,102034,0
147,maharashtra,2018,3,aurangabad district,428394,0
148,maharashtra,2018,3,amravati district,170913,0
149,maharashtra,2018,3,washim district,51549,0
150,maharashtra,2018,3,sangli district,189937,0
151,maharashtra,2018,3,gadchiroli district,38429,0
152,maharashtra,2018,3,raigad district,308594,0
153,maharashtra,2018,3,palghar district,312322,0
154,maharashtra,2018,3,jalna district,102291,0
155,maharashtra,2018,3,gondia district,67233,0
156,maharashtra,2018,3,ahmednagar district,344804,0
157,maharashtra,2018,3,pune district,1974138,0
158,maharashtra,2018,3,beed district,132639,0
159,maharashtra,2018,3,satara district,208545,0
160,maharashtra,2018,1,jalgaon district,156359,0
161,maharashtra,2018,1,latur district,101698,0
162,maharashtra,2018,1,thane district,631864,0
163,maharashtra,2018,1,bhandara district,38732,0
164,maharashtra,2018,1,nandurbar district,27766,0
165,maharashtra,2018,1,chandrapur district,67034,0
166,maharashtra,2018,1,kolhapur district,172528,0
167,maharashtra,2018,1,solapur district,190033,0
168,maharashtra,2018,1,mumbai district,233538,0
169,maharashtra,2018,1,sindhudurg district,19427,0
170,maharashtra,2018,1,dhule district,63040,0
171,maharashtra,2018,1,wardha district,46502,0
172,maharashtra,2018,1,parbhani district,57487,0
173,maharashtra,2018,1,mumbai suburban district,719300,0
174,maharashtra,2018,1,hingoli district,27545,0
175,maharashtra,2018,1,ratnagiri district,32596,0
176,maharashtra,2018,1,nanded district,99716,0
177,maharashtra,2018,1,osmanabad district,51994,0
178,maharashtra,2018,1,nagpur district,280007,0
179,maharashtra,2018,1,buldhana district,84962,0
180,maharashtra,2018,1,nashik district,321402,0
181,maharashtra,2018,1,akola district,56295,0
182,maharashtra,2018,1,yavatmal district,57137,0
183,maharashtra,2018,1,aurangabad district,266324,0
184,maharashtra,2018,1,amravati district,100458,0
185,maharashtra,2018,1,washim district,29299,0
186,maharashtra,2018,1,sangli district,108867,0
187,maharashtra,2018,1,gadchiroli district,20462,0
188,maharashtra,2018,1,raigad district,173015,0
189,maharashtra,2018,1,palghar district,172502,0
190,maharashtra,2018,1,jalna district,60373,0
191,maharashtra,2018,1,gondia district,37761,0
192,maharashtra,2018,1,ahmednagar district,197473,0
193,maharashtra,2018,1,pune district,1211643,0
194,maharashtra,2018,1,beed district,75552,0
195,maharashtra,2018,1,satara district,116303,0
196,maharashtra,2018,2,jalgaon district,210918,0
197,maharashtra,2018,2,latur district,135843,0
198,maharashtra,2018,2,thane district,861292,0
199,maharashtra,2018,2,bhandara district,54045,0
200,maharashtra,2018,2,nandurbar district,38235,0
201,maharashtra,2018,2,chandrapur district,93704,0
202,maharashtra,2018,2,kolhapur district,231603,0
203,maharashtra,2018,2,solapur district,259084,0
204,maharashtra,2018,2,mumbai district,319588,0
205,maharashtra,2018,2,sindhudurg district,26643,0
206,maharashtra,2018,2,dhule district,86922,0
207,maharashtra,2018,2,wardha district,63159,0
208,maharashtra,2018,2,parbhani district,75309,0
209,maharashtra,2018,2,mumbai suburban district,957633,0
210,maharashtra,2018,2,hingoli district,37346,0
211,maharashtra,2018,2,ratnagiri district,45361,0
212,maharashtra,2018,2,nanded district,132935,0
213,maharashtra,2018,2,osmanabad district,71243,0
214,maharashtra,2018,2,nagpur district,380425,0
215,maharashtra,2018,2,buldhana district,114637,0
216,maharashtra,2018,2,nashik district,436668,0
217,maharashtra,2018,2,akola district,76778,0
218,maharashtra,2018,2,yavatmal district,78775,0
219,maharashtra,2018,2,aurangabad district,347838,0
220,maharashtra,2018,2,amravati district,136760,0
221,maharashtra,2018,2,washim district,39995,0
222,maharashtra,2018,2,sangli district,148370,0
223,maharashtra,2018,2,gadchiroli district,29230,0
224,maharashtra,2018,2,raigad district,238251,0
225,maharashtra,2018,2,palghar district,239053,0
226,maharashtra,2018,2,jalna district,80013,0
227,maharashtra,2018,2,gondia district,52497,0
228,maharashtra,2018,2,ahmednagar district,268520,0
229,maharashtra,2018,2,pune district,1592293,0
230,maharashtra,2018,2,beed district,102259,0
231,maharashtra,2018,2,satara district,159146,0
232,maharashtra,2021,4,jalgaon district,1087090,54643157
233,maharashtra,2021,4,latur district,719450,42649479
234,maharashtra,2021,4,thane district,4906492,134242235
235,maharashtra,2021,4,bhandara district,298697,11690408
236,maharashtra,2021,4,nandurbar district,250332,11355907
237,maharashtra,2021,4,chandrapur district,537212,23606587
238,maharashtra,2021,4,kolhapur district,1282234,52717877
239,maharashtra,2021,4,solapur district,1475291,99334977
240,maharashtra,2021,4,mumbai district,1770325,42805095
241,maharashtra,2021,4,sindhudurg district,195901,4296168
242,maharashtra,2021,4,dhule district,485968,24495240
243,maharashtra,2021,4,wardha district,346618,14636917
244,maharashtra,2021,4,parbhani district,422969,23200712
245,maharashtra,2021,4,mumbai suburban district,4740546,109361875
246,maharashtra,2021,4,hingoli district,231679,11737542
247,maharashtra,2021,4,ratnagiri district,345590,7938110
248,maharashtra,2021,4,nanded district,769599,45011341
249,maharashtra,2021,4,osmanabad district,450897,31235487
