,State,Transaction_Year,Quaters,District,Transaction_Type,Transaction_Count,Transaction_Amount
0,madhya-pradesh,2021,3,bhopal,TOTAL,103403998,146735124186
1,madhya-pradesh,2021,3,indore,TOTAL,55970712,81712956761
2,madhya-pradesh,2021,3,gwalior,TOTAL,10677148,19237891487
3,madhya-pradesh,2021,3,jabalpur,TOTAL,9691966,16293034528
4,madhya-pradesh,2021,3,ujjain,TOTAL,7652620,13233697399
5,madhya-pradesh,2021,3,dhar,TOTAL,7010257,11371461567
6,madhya-pradesh,2021,3,dewas,TOTAL,6092595,9986506658
7,madhya-pradesh,2021,3,sehore,TOTAL,5466240,8629273157
8,madhya-pradesh,2021,3,chhindwara,TOTAL,5106996,8670292561
9,madhya-pradesh,2021,3,sagar,TOTAL,4691027,8366148265
10,madhya-pradesh,2021,3,Bhopal,TOTAL,74987334,111259178579
11,madhya-pradesh,2021,3,Indore,TOTAL,22164070,34600062075
12,madhya-pradesh,2021,3,Indore,TOTAL,4126900,5116995913
13,madhya-pradesh,2021,3,Bhopal,TOTAL,4073176,6413114865
14,madhya-pradesh,2021,3,Jabalpur,TOTAL,4031874,6533062681
15,madhya-pradesh,2021,3,Indore,TOTAL,3814262,4939628151
16,madhya-pradesh,2021,3,Dewas,TOTAL,3411019,5155527776
17,madhya-pradesh,2021,3,Indore,TOTAL,2531200,3787124072
18,madhya-pradesh,2021,3,Jabalpur,TOTAL,2368726,4169091721
19,madhya-pradesh,2021,3,Indore,TOTAL,2340962,2917120877
20,madhya-pradesh,2021,4,bhopal,TOTAL,134176541,190196223229
21,madhya-pradesh,2021,4,indore,TOTAL,73486993,107685836352
22,madhya-pradesh,2021,4,gwalior,TOTAL,13721879,25012279408
23,madhya-pradesh,2021,4,jabalpur,TOTAL,12476449,20920967750
24,madhya-pradesh,2021,4,ujjain,TOTAL,9436286,16998154949
25,madhya-pradesh,2021,4,dhar,TOTAL,8770665,14454487270
26,madhya-pradesh,2021,4,dewas,TOTAL,7659615,13007477185
27,madhya-pradesh,2021,4,sehore,TOTAL,6733399,10809509304
28,madhya-pradesh,2021,4,chhindwara,TOTAL,6522234,11185696130
29,madhya-pradesh,2021,4,rewa,TOTAL,6195961,12315058116
30,madhya-pradesh,2021,4,Bhopal,TOTAL,97987017,145639258182
31,madhya-pradesh,2021,4,Indore,TOTAL,29248862,46290695147
32,madhya-pradesh,2021,4,Indore,TOTAL,5218813,6467043620
33,madhya-pradesh,2021,4,Indore,TOTAL,5218642,6458915106
34,madhya-pradesh,2021,4,Jabalpur,TOTAL,5053220,8127214279
35,madhya-pradesh,2021,4,Bhopal,TOTAL,4713553,7350145336
36,madhya-pradesh,2021,4,Dewas,TOTAL,4258695,6645714914
37,madhya-pradesh,2021,4,Indore,TOTAL,3186800,4819897276
38,madhya-pradesh,2021,4,Jabalpur,TOTAL,3144266,5557372411
39,madhya-pradesh,2021,4,Indore,TOTAL,3140760,3797721234
40,madhya-pradesh,2021,1,bhopal,TOTAL,67309234,101725720745
41,madhya-pradesh,2021,1,indore,TOTAL,37457244,53867415617
42,madhya-pradesh,2021,1,gwalior,TOTAL,7162483,13365571399
43,madhya-pradesh,2021,1,jabalpur,TOTAL,6508756,11341470367
44,madhya-pradesh,2021,1,ujjain,TOTAL,4926814,8661804508
45,madhya-pradesh,2021,1,dhar,TOTAL,4368739,7366487165
46,madhya-pradesh,2021,1,dewas,TOTAL,3992803,6833124438
47,madhya-pradesh,2021,1,sehore,TOTAL,3804912,6207673600
48,madhya-pradesh,2021,1,chhindwara,TOTAL,3281453,6171721022
49,madhya-pradesh,2021,1,sagar,TOTAL,3149917,5653447301
50,madhya-pradesh,2021,1,Bhopal,TOTAL,45920869,76097617508
51,madhya-pradesh,2021,1,Indore,TOTAL,12368534,20333650796
52,madhya-pradesh,2021,1,Indore,TOTAL,3157169,3746274998
53,madhya-pradesh,2021,1,Indore,TOTAL,3031347,3622956355
54,madhya-pradesh,2021,1,Jabalpur,TOTAL,2626795,4524235375
55,madhya-pradesh,2021,1,Bhopal,TOTAL,2567784,4163932826
56,madhya-pradesh,2021,1,Dewas,TOTAL,2284442,3592982816
57,madhya-pradesh,2021,1,Indore,TOTAL,1784180,2566937156
58,madhya-pradesh,2021,1,Indore,TOTAL,1717447,2091704739
59,madhya-pradesh,2021,1,Bhopal,TOTAL,1690582,1841285115
60,madhya-pradesh,2021,2,bhopal,TOTAL,74643630,127038866031
61,madhya-pradesh,2021,2,indore,TOTAL,34159162,59026805792
62,madhya-pradesh,2021,2,gwalior,TOTAL,7475892,15466583871
