,State,Transaction_Year,Quaters,District,RegisteredUsers
0,madhya-pradesh,2021,3,indore,2028266
1,madhya-pradesh,2021,3,bhopal,1531544
2,madhya-pradesh,2021,3,gwalior,809887
3,madhya-pradesh,2021,3,jabalpur,745631
4,madhya-pradesh,2021,3,ujjain,596195
5,madhya-pradesh,2021,3,sagar,501819
6,madhya-pradesh,2021,3,dhar,483901
7,madhya-pradesh,2021,3,rewa,466895
8,madhya-pradesh,2021,3,chhindwara,462834
9,madhya-pradesh,2021,3,satna,426929
10,madhya-pradesh,2021,3,Jabalpur,231582
11,madhya-pradesh,2021,3,Indore,211664
12,madhya-pradesh,2021,3,Dewas,207599
13,madhya-pradesh,2021,3,Indore,196173
14,madhya-pradesh,2021,3,Bhopal,170393
15,madhya-pradesh,2021,3,Ratlam,167859
16,madhya-pradesh,2021,3,Jabalpur,157536
17,madhya-pradesh,2021,3,Chhindwara,153878
18,madhya-pradesh,2021,3,Gwalior,144518
19,madhya-pradesh,2021,3,Satna,143700
20,madhya-pradesh,2021,4,indore,2164101
21,madhya-pradesh,2021,4,bhopal,1633266
22,madhya-pradesh,2021,4,gwalior,866561
23,madhya-pradesh,2021,4,jabalpur,796148
24,madhya-pradesh,2021,4,ujjain,639197
25,madhya-pradesh,2021,4,sagar,538447
26,madhya-pradesh,2021,4,dhar,519970
27,madhya-pradesh,2021,4,rewa,500513
28,madhya-pradesh,2021,4,chhindwara,495990
29,madhya-pradesh,2021,4,satna,457858
30,madhya-pradesh,2021,4,Jabalpur,246911
31,madhya-pradesh,2021,4,Indore,225433
32,madhya-pradesh,2021,4,Dewas,222066
33,madhya-pradesh,2021,4,Indore,208931
34,madhya-pradesh,2021,4,Bhopal,181784
35,madhya-pradesh,2021,4,Ratlam,179603
36,madhya-pradesh,2021,4,Jabalpur,167796
37,madhya-pradesh,2021,4,Chhindwara,164329
38,madhya-pradesh,2021,4,Gwalior,154609
39,madhya-pradesh,2021,4,Satna,153628
40,madhya-pradesh,2021,1,indore,1769869
41,madhya-pradesh,2021,1,bhopal,1340741
42,madhya-pradesh,2021,1,gwalior,703232
43,madhya-pradesh,2021,1,jabalpur,650087
44,madhya-pradesh,2021,1,ujjain,513868
45,madhya-pradesh,2021,1,sagar,432938
46,madhya-pradesh,2021,1,dhar,415117
47,madhya-pradesh,2021,1,rewa,403013
48,madhya-pradesh,2021,1,chhindwara,399276
49,madhya-pradesh,2021,1,satna,368299
